OBJECTID,HUC12,Name,BioAqRankSW,BioAqSumSW,NtvAqRankSW,NtvAqSumSW,RarAqRankSW,RarAqSumSW,RwiAqRankSW,RwiAqMaxSW,NtvFish,NtvAqInvt,NtvAqAmph,NtvAqRept,RarFish,RarAqAmph,RarAqRept,RwiAqFishSWNorm,RwiAqAmphSWNorm,RwiAqReptSWNorm,Shape_Length,Shape_Area
1,1.80202E+11,Gilsizer Slough-Snake River,5,0.455074,5,0.605034,5,0.415094,5,0.176061764,15,26,3,4,2,0,2,0.00505135,0,0.176061794,175573.482,700428926.9
2,1.806E+11,Corralitos Canyon,5,0.380795,5,0.600918,4,0.339623,4,0.060400952,7,20,5,5,2,3,0,0.01518847,0.060400952,0,90709.97306,157979086.7
3,1.804E+11,Raynor Creek-Chowchilla River,4,0.25106,4,0.463076,2,0.150943,4,0.045908201,6,0,5,4,0,2,0,0,0.045908201,0,166396.0727,158683189.9
4,1.80703E+11,Mission Beach-Frontal Pacific Ocean,2,0.146987,3,0.386363,0,0,0,0,7,0,4,3,0,0,0,0,0,0,140223.5505,48712514.08
5,1.80902E+11,Fortymile Wash,1,0.010645,1,0.02798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17300.38394,4470205.43
6,1.80101E+11,Cooksie Creek-Frontal Pacific Ocean,5,0.346334,5,0.651944,3,0.245283,1,0.01313279,12,0,9,4,3,1,0,0.01313279,0.008695652,0,64182.63953,80264789.24
7,1.80101E+11,North Fork Mattole River,5,0.33995,5,0.63912,3,0.245283,1,0.00917637,11,0,9,4,3,1,0,0.00917637,0.008695652,0,49374.14974,97791914.45
8,1.80101E+11,Salt River,5,0.454916,5,0.662437,5,0.509434,3,0.023903405,15,0,8,4,5,1,1,0.023903411,0,0.01658986,49781.12694,110704876.7
9,1.80101E+11,Price Creek-Eel River,5,0.529343,5,0.786053,5,0.584906,3,0.020451345,14,43,8,4,5,2,1,0.020451341,0.008695652,0.01658986,59581.67482,109122139.3
10,1.80101E+11,Little Salmon Creek-Salmon Creek,5,0.533435,5,0.70633,5,0.679245,2,0.016589861,11,30,8,4,4,4,1,0.01476953,0.008695652,0.01658986,41606.81906,47852651.27
11,1.80101E+11,Humboldt Bay,5,0.740303,5,0.738722,5,0.90566,5,0.301548898,16,20,8,4,8,4,1,0.301548898,0.008695652,0.01658986,102302.9494,192367972.3
