OBJECTID,HUC12,Name,AqHabRank,AqHabSWNorm,AqHabTot,AnadHab,Riparian,Lakes,FreshWetld,MeadowFEW,Ponds,SeepSpring,VernalPool,SaltWetld,Shape_Length,Shape_Area
1,1.80E+11,Gilsizer Slough-Snake River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,175573.482,700428926.9
2,1.81E+11,Corralitos Canyon,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,90709.97306,157979086.7
3,1.80E+11,Raynor Creek-Chowchilla River,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,166396.0727,158683189.9
4,1.81E+11,Mission Beach-Frontal Pacific Ocean,3,0.6,3,N,Y,N,Y,Y,Y,N,Y,Y,140223.5505,48712514.08
5,1.81E+11,Fortymile Wash,0,0,0,N,N,N,N,N,N,N,N,N,17300.38394,4470205.43
6,1.80E+11,Cooksie Creek-Frontal Pacific Ocean,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,64182.63953,80264789.24
7,1.80E+11,North Fork Mattole River,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,49374.14974,97791914.45
8,1.80E+11,Salt River,4,0.8,4,Y,Y,N,Y,Y,Y,N,N,Y,49781.12694,110704876.7
9,1.80E+11,Price Creek-Eel River,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,59581.67482,109122139.3
10,1.80E+11,Little Salmon Creek-Salmon Creek,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,41606.81906,47852651.27
11,1.80E+11,Humboldt Bay,5,1,5,Y,Y,Y,Y,Y,Y,N,N,Y,102302.9494,192367972.3
12,1.80E+11,Lake Earl,4,0.8,4,N,Y,Y,Y,Y,Y,N,N,Y,46538.61182,75101714.43
13,1.80E+11,Rowdy Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,49497.52854,85689484.91
14,1.80E+11,Virgin Creek-Frontal Pacific Ocean,5,1,5,Y,Y,Y,Y,Y,Y,N,N,Y,51017.43721,39560155.17
15,1.80E+11,Sprout Creek,1,0.2,1,Y,N,N,N,N,N,N,N,N,41927.29794,62147494.89
16,1.80E+11,Fish Creek-South Fork Eel River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,33834.27219,58953268.76
17,1.80E+11,Redwood Creek,2,0.4,2,Y,N,N,Y,Y,N,N,N,N,39916.6018,67274450.77
18,1.80E+11,Ohman Creek-South Fork Eel River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,62683.38409,137086166.6
19,1.80E+11,Monument Creek-Eel River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,38614.72489,62836801.49
