"CERSID","BusinessName","SiteAddress","City","ZipCode","NAICSCode","SICCode","ChemicalName","CommonName","CASNumber","AverageDailyAmount","MaximumDailyAmount","ChemicalLocation","EHS","PFCodeHazardClass","SFCodeHazardClass","TFCodeHazardClass","FFCodeHazardClass","FifthFireCodeHazardClass","SixthFireCodeHazardClass","SeventhFireCodeHazardClass","EighthFireCodeHazardClass","isMixture","HMType","MixtureComponentNumber","RadioActive","Curies","Unit","PhysicalState","LargestContainer","FHCFire","FHCReactive","FHCPressureRelease","FHCAcuteHealth","FHCChronicHealth","AnnualWasteAmount","StateWasteCode","DaysOnSite","SCAboveGroundTank","SCUnderGroundTank","SCTankInsideBuilding","SCSteelDrum","SCPlasticNonMetallicDrum","SCCan","SCCarboy","SCSilo","SCFiberDrum","SCBag","SCBox","SCCylinder","SCGlassBottle","SCPlasticBottle","SCToteBin","SCTankTruckTankWagon","SCTankCarRailCar","SCOther","OtherStorageContainer","StoragePressure","StorageTemperature","HC1PercentByWeight","HC1Name","HC1EHS","HC1CAS","HC2PercentByWeight","HC2Name","HC2EHS","HC2CAS","HC3PercentByWeight","HC3Name","HC3EHS","HC3CAS","HC4PercentByWeight","HC4Name","HC4EHS","HC4CAS","HC5PercentByWeight","HC5Name","HC5EHS","HC5CAS","ChemicalDescriptionComment","AdditionalMixtureComponents","CCLID","USEPASRSNumber","DOTHazClassID","KEEP"
"10333657","WILWOOD ENGINEERING, INC","740 CALLE PLANO","CAMARILLO","93012","33634","3714","Oakite 302 AC","Alkaline soap cleaner Tank 1 bath anodize line","--","330","330","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","330","NULL","NULL","NULL","NULL","NULL","0","","365","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","Ambient","Above Ambient","1","Trade secret registry","N","735517-5124P","NULL",""," ","","NULL",""," ","","NULL",""," ","","NULL",""," ","","Process bath Bath make up concentration 4-8% Oakite 302AC / 92-96% water","","NULL","---","NULL","INCLUDE"
"10516963","MAYER LITHO","1040 SEGOVIA CIR ","PLACENTIA","92870","31","2752","Waste Ink","Waste Ink","NULL","25","55","NULL","N","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","550","343","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","20","Technical white Oils","N","8042-47-5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CAL000021950","NULL","INCLUDE"
"10284499","SEA SHIELD MARINE PRODUCTS","20832 CURRIER RD","WALNUT","91789","31","3544","HYDRAULIC OIL","HYDRAULIC OIL","NULL","100","165","NULL","N","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","100","221","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10333915","C & R MOLDS","4544 MCGRATH ST","VENTURA","93003","31","3089","Propane","Propane","74-98-6","56","56","NULL","N","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Gas","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1332","5207","2.1","INCLUDE"
"10416964","Sierra Pacific Ind","1440 Lincoln Blvd","Lincoln","95648","321","2421","NULL","Lead Acid Battery","NULL","74","78","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Unknown","NULL","NULL","NULL","gallons","Solid","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Battery","Ambient","Ambient","18","Sulfuric Acid","Y","7664-93-9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10203415","Broadridge Customer Communications","5220 ROBERT J MATHEWS PKWY","EL DORADO HILLS","95762","323","NULL","Urea Solution","Amide, Urea Solution","NULL","NULL","2500","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","2500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Unknown","Unknown","70","Urea","N","57-13-6","1","Ammonia","N","7664-41-7","0.5","Buiret","N","108-19-0","0.5","Ammonium Carbamate","N","1111-78-0","69.7","Water","N","7732-18-5","NULL","NULL","NULL","NULL","9","INCLUDE"
"10510426","Merrick Engineering","1275 Quarry St","Corona","92879","326","3089","Blue White PE MB","Blue White PE MB","NULL","500","40000","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","pounds","Solid","500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","NULL","Ambient","Ambient","10","zinc compounds","N","RR-00578-7","90","Polyethylene - high density","N","9002-88-4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10609729","NC DYNAMICS INC","6925 Downey Ave","Long Beach","90805","331","3499","Arrow 602 hydraulic oil","petroleum","64742-57-0","330","330","NULL","N","9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","petroleum oil","N","64742-57-0","NULL","petroleum oil","N","64742-58-1","NULL","petroleum oil","N","64742-62-7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10468669","West Fab Inc.","2701 S Bonnie Beach Pl","Vernon","90058","332","1761","argon","argon","7440-37-1","NULL","330","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Unknown","NULL","NULL","NULL","cubic feet","Gas","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Unknown","Unknown","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10612273","Creative Manufacturing Solutions, Inc","18400 Sutter Blvd","Morgan Hill","95037","332","3444","AR/CO2/HE Mixture","AR/CO2/HE Mixture","NULL","580","1322","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","cubic feet","Gas","381","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","Argon ","N","7440-37-1","NULL","Carbon Dioxide","N","124-38-9","NULL","Helium","N","7440-59-7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.2","INCLUDE"
