"EIS.Facility.ID","Agency.Identifier","Program.System.Code","State","County","State.and.County.Code","Tribal.Name","Facility.Name","Company.Name","NAICS..Primary.","Facility.Source.Type","Operating.Status","Site.Latitiude","Site.Longitude","Physical.Address","City","State.1","Zip.Code","eis$EIS.Facility.ID","KEEP"
10240711,"191026000000","CARB","CA","Los Angeles",6037,NA,"A'S MATCH DYEING & FINISHING","A'S MATCH DYEING & FINISHING",313310,"Textile, Yarn, or Carpet Plant","OP",34.00882,-118.22728,"2522 E 37TH ST","VERNON","CA","90058",10240711,"INCLUDE"
164411,"191026000000","CARB","CA","Los Angeles",6037,NA,"Academy Tent Inc","Na",314910,"","OP",33.99993,-118.16102,"5035 Gifford St","Vernon","CA","90058",164411,"INCLUDE"
13782911,"113035096","CARB","CA","Alameda",6001,NA,"ACCURATE MOULDING & MILLWORK","ACCURATE MOULDING & MILLWORK",315210,"","OP",37.52374,-122.01635,"38505 CHERRY STREET","NEWARK","CA","94560",13782911,"INCLUDE"
13509911,"301026000000","CARB","CA","Orange",6059,NA,"AMERICAN APPAREL KNIT AND DYE","AMERICAN APPAREL KNIT AND DYE",313310,"Textile, Yarn, or Carpet Plant","OP",33.78073,-118.00845,"12641 INDUSTRY ST","GARDEN GROVE","CA","92841",13509911,"INCLUDE"
1321111,"19102694377","CARB","CA","Los Angeles",6037,NA,"American Fiber Industries","Na",313110,"","OP",33.97992,-118.151,"5770 Peachtree","Commerce","CA","90040",1321111,"INCLUDE"
670011,"30102661970","CARB","CA","Orange",6059,NA,"Anaheim Mills Corp","Na",313310,"","OP",33.84991,-117.79104,"5412 & 5420 E La Palma Av","Anaheim","CA","92807",670011,"INCLUDE"
352911,"713038401","CARB","CA","Contra Costa",6013,NA,"ANDY'S TEE SHIRTS, INC","ANDY'S TEE SHIRTS, INC",314999,"","OP",38.00133,-122.03985,"1960 ARNOLD INDUSTRL PLACE","CONCORD","CA","94520",352911,"INCLUDE"
13883611,"3914304400","CARB","CA","San Joaquin",6077,NA,"APPLIED INDUSTRIAL TECHNOLOGIES #839","APPLIED INDUSTRIAL TECH #839",315280,"","OP",37.899105,-121.280605,"VARIOUS LOCATIONS","SJVAPCD","CA","93726",13883611,"INCLUDE"
2541611,"3315267528","CARB","CA","Riverside",6065,NA,"Armtec Defense Products Co","Na",313110,"","ONRE",33.66382,-116.21238,"85-901 53 Ave","Coachella","CA","92236",2541611,"INCLUDE"
205511,"113032593","CARB","CA","Alameda",6001,NA,"ARROW SIGN COMPANY","ARROW SIGN COMPANY",312230,"","OP",37.767831,-122.213018,"1046 45TH AVENUE","OAKLAND","CA","94601",205511,"INCLUDE"
26311,"19102688842","CARB","CA","Los Angeles",6037,NA,"Asiana Textile Printing  Inc","Na",313310,"","OP",33.84993,-118.21109,"19400 Laurel Park Rd","Rancho Dominguez","CA","90220",26311,"INCLUDE"
13988511,"191026000000","CARB","CA","Los Angeles",6037,NA,"AST TEXTILE GROUP, INC.","AMERICAN APPAREL DYEING & FINISHING, INC",313210,"Textile, Yarn, or Carpet Plant","OP",33.91796,-118.33323,"12537  CERISE AVE","HAWTHORNE","CA","90250",13988511,"INCLUDE"
10245211,"190502000000000","CARB","CA","Los Angeles",6037,NA,"ATLANTIC RICHFIELD CO. (ARCO# 3030)","SECOR INTERNATIONAL",314999,"","ONRE",34.697,-118.115,"918 LANCASTER BLVD","LANCASTER","CA","0",10245211,"INCLUDE"
2259611,"19102657103","CARB","CA","Los Angeles",6037,NA,"Atlas Carpet Mills  Inc","Na",314110,"","OP",33.99995,-118.13103,"2200 Saybrook Av","Commerce","CA","90040",2259611,"INCLUDE"
163911,"19102610094","CARB","CA","Los Angeles",6037,NA,"ATLAS CARPET MILLS INC","Na",314110,"","OP",34.06799,-118.221288,"340 S AVENUE 17","LOS ANGELES","CA","90031",163911,"INCLUDE"
729811,"4113033366","CARB","CA","San Mateo",6081,NA,"BARRANGO MANUFACTURING","BARRANGO MANUFACTURING",313210,"","OP",37.64998,-122.39111,"221 MICHELE COURT","SOUTH SAN FRANCISCO","CA","94080",729811,"INCLUDE"
198711,"113033442","CARB","CA","Alameda",6001,NA,"BEL AIRE DISPLAYS","BEL AIRE DISPLAYS",314999,"","OP",37.83709,-122.28806,"5710 HOLLIS STREET","EMERYVILLE","CA","94608",198711,"INCLUDE"
10511611,"1130313185","CARB","CA","Alameda",6001,NA,"BENNETT SIGN CENTRE","BENNETT SIGN CENTRE",312230,"","OP",37.67033,-121.86771,"1032 SERPENTINE LN, #107","PLEASANTON","CA","94566",10511611,"INCLUDE"
5783211,"19102640034","CARB","CA","Los Angeles",6037,NA,"BENTLEY PRINCE STREET INC","BENTLEY PRINCE STREET INC",314110,"Textile, Yarn, or Carpet Plant","OP",34.02881,-117.97872,"14641 E DON JULIAN RD","CITY OF INDUSTRY","CA","91746",5783211,"INCLUDE"
739911,"33102618415","CARB","CA","Riverside",6065,NA,"BIANCHI INTERNATIONAL","BIANCHI INTERNATIONAL",316998,"","OP",33.508703,-117.155922,"27969 JEFFERSON AVE","TEMECULA","CA","92590",739911,"INCLUDE"
13547511,"3116239625","CARB","CA","Placer",6061,NA,"BLAYLOCK'S INC","BLAYLOCK'S INC",316110,"","OP",39.01864,-120.830824,"5825 SUNSET DRIVE","FORESTHILL","CA","95631",13547511,"INCLUDE"
9960311,"43130310878","CARB","CA","Santa Clara",6085,NA,"BLAZER SIGN","BLAZER SIGN",312230,"","OP",37.3759,-121.91303,"2012 ZANKER ROAD","SAN JOSE","CA","95131",9960311,"INCLUDE"
253011,"191026000000","CARB","CA","Los Angeles",6037,NA,"Bonded Fiber Products Inc","Na",313230,"","OP",33.98994,-118.12104,"2748 Tanager Ave","Commerce","CA","90040",253011,"INCLUDE"
1279611,"431303110","CARB","CA","Santa Clara",6085,NA,"BURKE INDUSTRIES, INC","BURKE INDUSTRIES, INC",313320,"","OP",37.30863,-121.854156,"2250 SO 10TH STREET","SAN JOSE","CA","95112",1279611,"INCLUDE"
14189211,"4313032231","CARB","CA","Santa Clara",6085,NA,"BURKE INDUSTRIES, INC","BURKE INDUSTRIES, INC",313320,"","OP",37.31243,-121.85281,"2049 SENTER ROAD","SAN JOSE","CA","95112",14189211,"INCLUDE"
498511,"1910262664","CARB","CA","Los Angeles",6037,NA,"C & R Printed Bag Co Inc","Na",313310,"","OP",34.0716,-118.05428,"10531 Valley Blvd","El Monte","CA","91731",498511,"INCLUDE"
132811,"19102643961","CARB","CA","Los Angeles",6037,NA,"Cal Lifestyles","Na",315220,"","OP",33.86992,-118.2411,"1999 W Walnut St","Compton","CA","90220",132811,"INCLUDE"
106111,"1910268791","CARB","CA","Los Angeles",6037,NA,"Cal-Pacific Dyeing & Finishing","Na",313310,"","OP",33.87991,-118.26103,"505 E Gardena Blvd","Carson","CA","90248",106111,"INCLUDE"
497511,"19102625548","CARB","CA","Los Angeles",6037,NA,"California Fiberloft Inc","Na",314999,"","ONRE",34.01479,-118.23344,"2167 E 25th St","Los Angeles","CA","90058",497511,"INCLUDE"
651711,"3813037373","CARB","CA","San Francisco",6075,NA,"CIRCA OF AMERICA, LLC","CIRCA CORPORATION",315210,"","OP",37.72067,-122.3928,"1330 FITZGERALD AVENUE","SAN FRANCISCO","CA","94124",651711,"INCLUDE"
2225711,"19102655349","CARB","CA","Los Angeles",6037,NA,"Color America Textile Processi","Na",313310,"","OP",34.04998,-118.17102,"4101 E Whiteside St","Los Angeles","CA","90063",2225711,"INCLUDE"
167911,"191026000000","CARB","CA","Los Angeles",6037,NA,"Color Master Printex  Inc","Na",313310,"","OP",33.99993,-118.18106,"4212 E 26th St","Vernon","CA","90023",167911,"INCLUDE"
189911,"19102673270","CARB","CA","Los Angeles",6037,NA,"Colormax Industries Inc","Na",313310,"","OP",34.01998,-118.25108,"1627 Paloma St","Los Angeles","CA","90021",189911,"INCLUDE"
9984211,"43130313839","CARB","CA","Santa Clara",6085,NA,"CORE SYSTEMS INC","CORE SYSTEMS INC",312230,"","OP",37.37385,-122.00296,"1050 KIFER ROAD","SUNNYVALE","CA","94086",9984211,"INCLUDE"
9941111,"43130312072","CARB","CA","Santa Clara",6085,NA,"CORPORATE SIGN SYSTEM, INC","CORPORATE SIGN SYSTEM, INC",312230,"","OP",37.3726,-121.89729,"1521 BERGER DRIVE","SAN JOSE","CA","95112",9941111,"INCLUDE"
19175911,"361026000000","CARB","CA","San Bernardino",6071,NA,"CPD INDUSTRIES","CPD INDUSTRIES",314910,"","OP",34.059684,-117.703407,"4665  STATE ST","MONTCLAIR","CA","91763",19175911,"INCLUDE"
13799211,"4313039337","CARB","CA","Santa Clara",6085,NA,"CRAIN CUTTER COMPANY","CRAIN CUTTER COMPANY",314110,"","OP",37.42902,-121.89671,"156 SO MILPITAS BLVD","MILPITAS","CA","95035",13799211,"INCLUDE"
2107411,"19102612879","CARB","CA","Los Angeles",6037,NA,"Cytec Engineered Materials  In","Na",313320,"","ONRE",34.42035,-118.50804,"21444 Golden Triangle Rd","Saugus","CA","91350",2107411,"INCLUDE"
5905611,"301026000000","CARB","CA","Orange",6059,NA,"CYTEC ENGINEERED MATERIALS INC","CYTEC ENGINEERED MATERIALS INC",313320,"","OP",33.79767,-117.85578,"645-691 N CYPRESS","ORANGE","CA","92867",5905611,"INCLUDE"
4797111,"30102699773","CARB","CA","Orange",6059,NA,"CYTEC ENGINEERED MATERIALS INC","CYTEC ENGINEERED MATERIALS INC",313320,"","OP",33.86251,-117.85965,"1440 N KRAEMER BLVD","ANAHEIM","CA","92806",4797111,"INCLUDE"
13479611,"301026000000","CARB","CA","Orange",6059,NA,"DAE SHIN USA INC /JAE WEON LEE","DAESHIN USA, INC./JAEWEON LEE",313210,"","OP",33.87663,-117.96499,"610 N GILBERT ST","FULLERTON","CA","92833",13479611,"INCLUDE"
167411,"191026000000","CARB","CA","Los Angeles",6037,NA,"DANFIELD INC","DANFIELD INC",316110,"","OP",34.00737,-118.1365,"6401  FLOTILLA ST","COMMERCE","CA","90040",167411,"INCLUDE"
17295611,"42112511466","CARB","CA","Santa Barbara",6083,NA,"DECKERS OUTDOOR CORP.","DECKERS OUTDOOR CORP.",316210,"","OP",34.428799,-119.863282,"250 COROMAR DRIVE","GOLETA","CA","93117",17295611,"INCLUDE"
2291511,"4313039593","CARB","CA","Santa Clara",6085,NA,"DESIGNER SIGN SYSTEMS","DESIGNER SIGN SYSTEMS",312230,"","OP",37.311853,-121.861797,"332B PHELAN STREET","SAN JOSE","CA","95112",2291511,"INCLUDE"
17218011,"191026000000","CARB","CA","Los Angeles",6037,NA,"DOOLIN SHOE COMPANY, INC","",316210,"","OP",34.054946,-118.049086,"2312  EDWARDS AVE","SOUTH EL MONTE","CA","91733",17218011,"INCLUDE"
1596511,"4913033434","CARB","CA","Sonoma",6097,NA,"DURA GLASS PRODUCTS, INC","DURA GLASS PRODUCTS, INC",313210,"","OP",38.44153,-122.7605,"1500 COPPER HILL PKWY, UNIT A","SANTA ROSA","CA","95403",1596511,"INCLUDE"
225611,"191026000000","CARB","CA","Los Angeles",6037,NA,"E & J Textile Group  Inc","Na",313310,"","OP",33.90993,-118.33102,"12537  Cerise Avenue","Hawthorne","CA","90250",225611,"INCLUDE"
1991111,"19102658162","CARB","CA","Los Angeles",6037,NA,"E T C  Carpet Mills  Ltd","Na",314110,"","ONRE",34.09299,-118.08273,"5012 Walnut Grove Av","San Gabriel","CA","91778",1991111,"INCLUDE"
10464711,"7130311220","CARB","CA","Contra Costa",6013,NA,"EAST BAY LASER CUTTING","EAST BAY LASER CUTTING",312230,"","OP",37.92443,-122.36702,"435 SO 2ND STREET","RICHMOND","CA","94804",10464711,"INCLUDE"
10323211,"191026000000","CARB","CA","Los Angeles",6037,NA,"Edmund Kim Production Group, Inc.","",313310,"","OP",33.84837,-118.2332,"1930 Via Arado","Rancho Dominguez","CA","90220",10323211,"INCLUDE"
670911,"30102662903","CARB","CA","Orange",6059,NA,"EXPO DYEING & FINISHING, INC.","EXPO DYEING & FINISHING, INC.",313310,"Textile, Yarn, or Carpet Plant","OP",33.85429,-117.97973,"1365-85 N KNOLLWOOD CIR","ANAHEIM","CA","92801",670911,"INCLUDE"
2163311,"19102625501","CARB","CA","Los Angeles",6037,NA,"FABRI-COTE,DIV A & S GLASS FABRICS CO IN","FABRI-COTE,DIV A & S GLASS FABRICS CO IN",313320,"","OP",33.9854,-118.2624,"718  & 724 E 60TH ST","LOS ANGELES","CA","90001",2163311,"INCLUDE"
1504011,"30102695212","CARB","CA","Orange",6059,NA,"FABRICA","FABRICA",314110,"Textile, Yarn, or Carpet Plant","OP",33.704748,-117.911032,"3201 S SUSAN ST","SANTA ANA","CA","92704",1504011,"INCLUDE"
10317911,"191026000000","CARB","CA","Los Angeles",6037,NA,"FANTASY DYEING & FINISHING INC","FANTASY DYEING & FINISHING INC",313310,"Textile, Yarn, or Carpet Plant","OP",34.005,-118.187,"4212 E 26TH ST","LOS ANGELES","CA","90023",10317911,"INCLUDE"
15765111,"191026000000","CARB","CA","Los Angeles",6037,NA,"FANTASY DYEING AND FINISHING, INC.","",313240,"","OP",33.99466,-118.20952,"5389  ALCOA AVE","VERNON","CA","90058",15765111,"INCLUDE"
594311,"37122785037","CARB","CA","San Diego",6073,NA,"FEDERAL SIGN DIVISION","FEDERAL SIGN DIVISION",312230,"","OP",33.21,-117.273,"4602         NORTH AV","OCEANSIDE","CA","92056",594311,"INCLUDE"
1157411,"19102614806","CARB","CA","Los Angeles",6037,NA,"Ferro Corp  Composites Div","Na",313320,"","ONRE",34.02596,-118.38298,"3512 Helms Ave.","Culver City","CA","90232",1157411,"INCLUDE"
2144411,"19102624462","CARB","CA","Los Angeles",6037,NA,"FLEXFIRM PRODUCTS, INC","Na",313320,"","OP",34.0543,-118.05881,"2300 N CHICO AVE","SOUTH EL MONTE","CA","91733",2144411,"INCLUDE"
117411,"191026000000","CARB","CA","Los Angeles",6037,NA,"FORTUNE FASHIONS IND","FORTUNE FASHIONS IND",315990,"","OP",34.00235,-118.21417,"4700 S BOYLE AVE","VERNON","CA","90058",117411,"INCLUDE"
17240311,"361026000000","CARB","CA","San Bernardino",6071,NA,"FREEDOM FINISHING","",313310,"","OP",34.038879,-117.630249,"1942 S GROVE AVE","ONTARIO","CA","91761",17240311,"INCLUDE"
1316111,"1910265078","CARB","CA","Los Angeles",6037,NA,"Friedman Bag Co Inc  Polyethyl","Na",314910,"","OP",34.05017,-118.23311,"706 Ducommun& 801 E Commercial","Los Angeles","CA","90012",1316111,"INCLUDE"
523111,"1014303289","CARB","CA","Fresno",6019,NA,"GAP, INC.","GAP, INC.",315210,"","OP",36.783287,-119.707374,"3400 N GAP DR","FRESNO","CA","93727",523111,"INCLUDE"
10466711,"1130316692","CARB","CA","Alameda",6001,NA,"GENMARK AUTOMATION","GENMARK AUTOMATION",314999,"","OP",37.46561,-121.92421,"48571 MILMONT DRIVE","FREMONT","CA","94538",10466711,"INCLUDE"
14290711,"43130316691","CARB","CA","Santa Clara",6085,NA,"GENMARK AUTOMATION","GENMARK AUTOMATION",314999,"","OP",37.445341,-121.918976,"1201 CADILLAC COURT","MILPITAS","CA","95035",14290711,"INCLUDE"
18699511,"1130322601","CARB","CA","Alameda",6001,NA,"GENMARK AUTOMATION","GENMARK AUTOMATION",314999,"","OP",37.482723,-121.93815,"46723 LAKEVIEW BLVD","FREMONT","CA","94538",18699511,"INCLUDE"
10168511,"301026000000","CARB","CA","Orange",6059,NA,"GOLDEN COAST SPORTSWEAR","",315240,"","OP",33.806857,-117.896221,"1140 E HOWELL AVE","ANAHEIM","CA","92805",10168511,"INCLUDE"
574411,"4113032831","CARB","CA","San Mateo",6081,NA,"GOODMAN BALL, INC","GOODMAN BALL, INC",316110,"","OP",37.48395,-122.1772,"3639 HAVEN AVENUE","MENLO PARK","CA","94025",574411,"INCLUDE"
2359211,"4913038674","CARB","CA","Sonoma",6097,NA,"GRAFIX","GRAFIX",314999,"","OP",38.34067,-122.71945,"681 PORTAL STREET","COTATI","CA","94931",2359211,"INCLUDE"
10034611,"38130316739","CARB","CA","San Francisco",6075,NA,"GRAPHIC SPORTSWEAR","GRAPHIC SPORTSWEAR",315220,"","OP",37.7548,-122.38995,"1240 MINNESOTA STREET","SAN FRANCISCO","CA","94107",10034611,"INCLUDE"
15713411,"1130320232","CARB","CA","Alameda",6001,NA,"GROENIGER & COMPANY","GROENIGER & COMPANY",312230,"","OP",37.621487,-122.100256,"27750 INDUSTRIAL BLVD","HAYWARD","CA","94545",15713411,"INCLUDE"
13796311,"7130315767","CARB","CA","Contra Costa",6013,NA,"HUNTER PAINE ENTERPRISES LLC","HUNTER PAINE ENTERPRISES LLC",313320,"","OP",38.02971,-121.90851,"701 WILLOW PASS ROAD","PITTSBURG","CA","94565",13796311,"INCLUDE"
13479411,"30102694264","CARB","CA","Orange",6059,NA,"J D LINCOLN INC","J D LINCOLN INC",313320,"","OP",33.639727,-117.934169,"851 W 18TH ST","COSTA MESA","CA","92627",13479411,"INCLUDE"
29411,"19102690957","CARB","CA","Los Angeles",6037,NA,"J PACIFIC INC, DELTA DYEING & FINISHING","J PACIFIC INC, DELTA DYEING & FINISHING",313310,"Textile, Yarn, or Carpet Plant","OP",33.90561,-118.28359,"13930 S FIGUEROA ST","LOS ANGELES","CA","90061",29411,"INCLUDE"
10228411,"191026000000","CARB","CA","Los Angeles",6037,NA,"Jds Finishing, Inc","",315240,"","OP",33.99489,-118.20873,"5389 Alcoa Ave","Vernon","CA","90058",10228411,"INCLUDE"
1417111,"19102619890","CARB","CA","Los Angeles",6037,NA,"Kiesling-Hess Finishing Co Of","Na",313320,"","ONRE",34.02175,-118.38545,"8690 Hayden Pl","Culver City","CA","90232",1417111,"INCLUDE"
28511,"19102690307","CARB","CA","Los Angeles",6037,NA,"L A Dye & Print Works Inc","Na",313310,"","OP",33.98997,-118.23104,"2250 E 52nd St","Vernon","CA","90058",28511,"INCLUDE"
1180711,"19102651949","CARB","CA","Los Angeles",6037,NA,"La Dye & Print Works Inc","Na",313310,"","OP",33.97993,-118.10099,"8340 E Washington Blvd","Pico Rivera","CA","90660",1180711,"INCLUDE"
398711,"19102640030","CARB","CA","Los Angeles",6037,NA,"La Dye & Print Works Inc","Na",313310,"","OP",33.98997,-118.23104,"5000 Long Beach Ave","Los Angeles","CA","90058",398711,"INCLUDE"
70711,"19102641582","CARB","CA","Los Angeles",6037,NA,"La Dye & Print Works Inc","Na",313310,"","OP",34.00991,-118.22104,"2253 E Washington Blvd","Los Angeles","CA","90021",70711,"INCLUDE"
10265411,"191026000000","CARB","CA","Los Angeles",6037,NA,"LAFAYETTE TEXTILE IND LLC","LAFAYETTE TEXTILE IND LLC",314999,"Textile, Yarn, or Carpet Plant","OP",34.012872,-118.175676,"4500 E DUNHAM ST","COMMERCE","CA","90040",10265411,"INCLUDE"
2194011,"43130310413","CARB","CA","Santa Clara",6085,NA,"Lb Fiberglass Performance","Na",313210,"","OP",37.32325,-121.87523,"1098 So 5th Street","San Jose","CA","95111",2194011,"INCLUDE"
135911,"19102645275","CARB","CA","Los Angeles",6037,NA,"LEEGIN CREATIVE LEATHER PROD. INC","LEEGIN CREATIVE LEATHER PROD. INC",315990,"","OP",34.03992,-117.98109,"14022  NELSON AVE","CITY OF INDUSTRY","CA","91746",135911,"INCLUDE"
10314111,"191026000000","CARB","CA","Los Angeles",6037,NA,"LEKOS DYE AND FINISHING, INC","LEKOS DYE AND FINISHING, INC",313310,"Textile, Yarn, or Carpet Plant","OP",33.867433,-118.206672,"3131  HARCOURT ST","COMPTON","CA","90221",10314111,"INCLUDE"
10510511,"113037562","CARB","CA","Alameda",6001,NA,"LEONARD R FOSS STUDIOS INC","LEONARD R FOSS STUDIOS INC",316110,"","OP",37.787135,-122.246381,"1357 INTERNATIONAL BLVD","OAKLAND","CA","94606",10510511,"INCLUDE"
374011,"30102630958","CARB","CA","Orange",6059,NA,"Leonard'S Carpet Service Inc","Na",314110,"","ONRE",33.85032,-117.86455,"1121-114 N Red Gum St","Anaheim","CA","92806",374011,"INCLUDE"
10047011,"38130314923","CARB","CA","San Francisco",6075,NA,"LEVI STRAUSS & COMPANY","LEVI STRAUSS & COMPANY",315210,"","OP",37.801675,-122.402342,"1155 BATTERY STREET","SAN FRANCISCO","CA","94111",10047011,"INCLUDE"
10311811,"19102614229","CARB","CA","Los Angeles",6037,NA,"Lorber Industries Of California","",313310,"","OP",33.86786,-118.28149,"17908 S Figueroa St.","Gardena","CA","90248",10311811,"INCLUDE"
248111,"191026000000","CARB","CA","Los Angeles",6037,NA,"Los Angeles Fiber Company","Na",314999,"","OP",34,-118.21105,"4920 Boyle Avenue","Vernon","CA","91765",248111,"INCLUDE"
56011,"1910269158","CARB","CA","Los Angeles",6037,NA,"Magdesian Bros Inc","Na",316210,"","OP",34.02991,-117.98108,"730 5th Av","Industry","CA","91746",56011,"INCLUDE"
13800711,"2113037762","CARB","CA","Marin",6041,NA,"MARIN APPAREL COMPANY","MARIN APPAREL COMPANY",315210,"","OP",38.09873,-122.56617,"7049 REDWOOD BLVD","NOVATO","CA","94945",13800711,"INCLUDE"
3390811,"38130312454","CARB","CA","San Francisco",6075,NA,"MARTINELLI ENVIRONMENTAL GRAPH","MARTINELLI ENVIRONMENTAL GRAPH",312230,"","OP",37.7719,-122.41096,"1370 HARRISON STREET","SAN FRANCISCO","CA","94103",3390811,"INCLUDE"
17267811,"38130322349","CARB","CA","San Francisco",6075,NA,"MARTINELLI ENVIRONMENTAL GRAPHICS","MARTINELLI ENVIRONMENTAL GRAPHICS",312230,"","OP",37.726697,-122.400959,"1829 EGBERT AVENUE","SAN FRANCISCO","CA","94124",17267811,"INCLUDE"
509611,"1910263029","CARB","CA","Los Angeles",6037,NA,"MATCHMASTER DYEING & FINISHING INC","MATCHMASTER DYEING & FINISHING INC",313310,"Textile, Yarn, or Carpet Plant","OP",34.014783,-118.276514,"3700 S BROADWAY","LOS ANGELES","CA","90007",509611,"INCLUDE"
10511311,"1130313234","CARB","CA","Alameda",6001,NA,"MCGRATH RENT CORPORATION","MCGRATH RENT CORPORATION",316110,"","OP",37.69915,-121.72584,"5700 LAS POSITAS ROAD","LIVERMORE","CA","94550",10511311,"INCLUDE"
25911,"19102688556","CARB","CA","Los Angeles",6037,NA,"Minson Corporation","Na",315110,"","OP",33.99999,-118.22101,"2665 Leonis Blvd","Los Angeles","CA","90058",25911,"INCLUDE"
251211,"191026000000","CARB","CA","Los Angeles",6037,NA,"Mlm Pacific Apparel Inc","Na",315990,"","OP",33.90993,-118.33102,"13020 Cerise Ave","Hawthorne","CA","90250",251211,"INCLUDE"
1124411,"1130311701","CARB","CA","Alameda",6001,NA,"MOTIVATIONAL SYSTEMS INC","MOTIVATIONAL SYSTEMS INC",312230,"","OP",37.69073,-121.79914,"210 BOEING CT, SUITE A","LIVERMORE","CA","94550",1124411,"INCLUDE"
13761711,"1130319011","CARB","CA","Alameda",6001,NA,"OAKLAND BAG, INC","OAKLAND BAG, INC",314910,"","OP",37.756107,-122.205829,"700A INDEPENDENT RD","OAKLAND","CA","94621",13761711,"INCLUDE"
9952811,"43130315728","CARB","CA","Santa Clara",6085,NA,"OMNICELL","OMNICELL",313320,"","OP",37.42085,-122.07135,"1201 CHARLESTON ROAD","MOUNTAIN VIEW","CA","94043",9952811,"INCLUDE"
3387811,"38130311406","CARB","CA","San Francisco",6075,NA,"ONE HAT ONE HAND LLC","ONE HAT ONE HAND LLC",316110,"","OP",37.722148,-122.385802,"1335 YOSEMITE AVENUE","SAN FRANCISCO","CA","94124",3387811,"INCLUDE"
16072511,"43130320408","CARB","CA","Santa Clara",6085,NA,"OPEN TV","OPEN TV",312230,"","OP",37.396359,-122.045114,"485 CLYDE AVENUE","MOUNTAIN VIEW","CA","94043",16072511,"INCLUDE"
138411,"113031675","CARB","CA","Alameda",6001,NA,"ORCON CORPORATION","ORCON CORPORATION",313230,"","OP",37.60199,-122.03718,"1570 ATLANTIC STREET","UNION CITY","CA","94587",138411,"INCLUDE"
