"X1..REPORTING.YEAR","X2..TITLE.OF.CERTIFYING.OFFICIAL","X3..NAME.OF.CERTIFYING.OFFICIAL","X4..TRIFD","X5..NAME","X6..STREET","X7..CITY","X8..COUNTY","X9..STATE","X10..ZIP.CODE","X11..BIA.CODE","X12..TRIBE.NAME","X13..PARENT.COMPANY.NAME","X14..PARENT.COMPANY.DB.NR","X15..STANDARDIZED.PARENT.COMPANY.NAME","X16..EPA.REGISTRY.ID","X17..SUBMITTED.FACILITY.NAME","X18..SUBMITTED.STREET","X19..SUBMITTED.CITY","X20..SUBMITTED.COUNTY","X21..SUBMITTED.STATE","X22..SUBMITTED.ZIP.CODE","X23..SUBMITTED.BIA.CODE","X24..SUBMITTED.TRIBE.NAME","X25..SUBMITTED.PARENT.COMPANY.NAME","X26..SUBMITTED.PARENT.COMPANY.DB.NR","X27..SUBMITTED.STANDARDIZED.PARENT.COMPANY.NAME","X28..SUBMITTED.PRIMARY.NAICS.CODE","X29..SUBMITTED.INDUSTRY.CODE","X30..SUBMITTED.INDUSTRY.NAME","X31..MAILING.NAME","X32..MAILING.STREET","X33..MAILING.CITY","X34..MAILING.STATE","X35..MAILING.PROVINCE","X36..MAILING.ZIP.CODE","X37..ENTIRE.FACILITY.IND","X38..PARTIAL.FACILITY.IND","X39..FEDERAL.FACILITY.IND","X40..ASSIGNED.AGENCY","X41..GOCO.FACILITY.IND","X42..ASSIGNED.FED.FACILITY.FLAG","X43..ASSIGNED.PARTIAL.FACILITY.FLAG","X44..PUBLIC.CONTACT.NAME","X45..PUBLIC.CONTACT.PHONE","X46..PUBLIC.CONTACT.PHONE.EXT","X47..PUBLIC.CONTACT.EMAIL","X48..PRIMARY.SIC.CODE","X49..SIC.CODE.2","X50..SIC.CODE.3","X51..SIC.CODE.4","X52..SIC.CODE.5","X53..SIC.CODE.6","X54..INDUSTRY.CODE","X55..INDUSTRY.NAME","X56..PRIMARY.NAICS.CODE","X57..NAICS.CODE.2","X58..NAICS.CODE.3","X59..NAICS.CODE.4","X60..NAICS.CODE.5","X61..NAICS.CODE.6","X62..LATITUDE","X63..LONGITUDE","X64..DB.NR.A","X65..DB.NR.B","X66..RCRA.NR.A","X67..RCRA.NR.B","X68..RCRA.NR.C","X69..RCRA.NR.D","X70..RCRA.NR.E","X71..RCRA.NR.F","X72..RCRA.NR.G","X73..RCRA.NR.H","X74..RCRA.NR.I","X75..RCRA.NR.J","X76..NPDES.NR.A","X77..NPDES.NR.B","X78..NPDES.NR.C","X79..NPDES.NR.D","X80..NPDES.NR.E","X81..NPDES.NR.F","X82..NPDES.NR.G","X83..NPDES.NR.H","X84..NPDES.NR.I","X85..NPDES.NR.J","X86..LAST.YEAR.THE.FACILITY.REPORTED","X87..FIRST.YEAR.THE.FACILITY.REPORTED","X88..NUMBER.OF.FORMS.SUBMITTED","X89..TOTAL.NUMBER.OF.FORMS.SUBMITTED","X20220921","KEEP"
2021,"SAFETY COORDINATOR","JOHN BLOUGH","9227WCLPRT722VI","1000PALMS VISTA CHINO PLANT","72200 VISTA CHINO AVE","THOUSAND PALMS","RIVERSIDE","CA",92276,NA,"","CORONET CONCRETE PRODUCTS INC","147453393","CORONET CONCRETE PRODUCTS INC",110041626826,"1000PALMS VISTA CHINO PLANT","72200 VISTA CHINO AVE","THOUSAND PALMS","RIVERSIDE","CA",92276,NA,"","CORONET CONCRETE PRODUCTS INC","147453393","CORONET CONCRETE PRODUCTS INC",327320,327,"Nonmetallic Mineral Product","1000PALMS VISTA CHINO PLANT","83801 AVENUE 45","INDIO","CA",NA,"92201","YES","NO","NO","","NO","NO","NO","JOHN BLOUGH",7603422966,NA,"JBLOUGH@DESERTREDIMIX.COM",NA,NA,NA,NA,NA,NA,327,"Nonmetallic Mineral Product",327320,NA,NA,NA,NA,NA,33.84532,-116.37557,147453393,NA,"CAR000074674","CAL000330951","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,2009,2,14,NA,"INCLUDE"
2021,"PLANT DIRECTOR","MARCELO JIMENEZ","92507220LB2375T","220 LABORATORIES","2375 THIRD ST","RIVERSIDE","RIVERSIDE","CA",92507,NA,"","","","",110002942451,"220 LABORATORIES","2375 THIRD ST","RIVERSIDE","RIVERSIDE","CA",92507,NA,"","","","",325620,325,"Chemicals","220 LABORATORIES","2375 THIRD ST","RIVERSIDE","CA",NA,"92507","YES","NO","NO",NA,"NO","NO","NO","KATIE PERRY",6268907151,NA,"KATIE.PERRY@PLZAEROSCIENCE.COM",2844,NA,NA,NA,NA,NA,325,"Chemicals",325620,NA,NA,NA,NA,NA,33.98292,-117.36131,NA,NA,"CAR000080945","","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,2001,1,6,NA,"INCLUDE"
2021,"PLANT DIRECTOR","THORSTEN HILGENFELDT","91719MXXXX8500M","3M CO - CORONA","18750 MINNESOTA RD","CORONA","RIVERSIDE","CA",92881,NA,"","3M CO","6173082","3M CO",110000477467,"3M CO - CORONA","18750 MINNESOTA RD","CORONA","RIVERSIDE","CA",92881,NA,"","3M CO","6173082","3M CO",327999,327,"Nonmetallic Mineral Product","3M CO - CORONA","18750 MINNESOTA RD","CORONA","CA",NA,"92881","YES","NO","NO","","NO","NO","NO","THOR HILGENFELDT",9515204617,NA,"TGHILGENFELDT@MMM.COM",3295,NA,NA,NA,NA,NA,327,"Nonmetallic Mineral Product",327999,NA,NA,NA,NA,NA,33.84916,-117.50607,8276214,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,1987,5,126,NA,"INCLUDE"
2021,"PLANT MANAGER","BRETT COCHRANE","91016MXXXX1601S","3M CO - MONROVIA TAPE","1601 S SHAMROCK AVE","MONROVIA","LOS ANGELES","CA",91016,NA,"","3M CO","6173082","3M CO",110000476583,"","","","","",NA,NA,"","","","",NA,999,"Other","3M CO - MONROVIA TAPE","1601 S SHAMROCK AVE","MONROVIA","CA",NA,"91016","YES","NO","NO","","NO","NO","NO","BRETT COCHRANE",7606625401,NA,"BRCOCHRANE@MMM.COM",2295,3069,3497,NA,NA,NA,313,"Textiles",313320,NA,NA,NA,NA,NA,34.13352,-117.99129,NA,NA,"CAD990667099","","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,1987,2,90,NA,"INCLUDE"
2021,"FACILITIES MANAGER","WARREN SEVILLA","9287WVFSTN32REE","3V FASTNERS CO INC","320 REED CIR","CORONA","RIVERSIDE","CA",92879,NA,"","STANLEY BLACK & DECKER","1152461","STANLEY BLACK & DECKER",110055884137,"","","","","",NA,NA,"","","","",NA,999,"Other","3V FASTNERS CO INC","320 REED CIR","CORONA","CA",NA,"92879","YES","NO","NO","","NO","NO","NO","WARREN SEVILLA",9517417408,NA,"WSEVILLA@3VFASTENERS.COM",NA,NA,NA,NA,NA,NA,332,"Fabricated Metals",332722,331491,332112,332811,331222,NA,33.88191,-117.55413,70678735,NA,"CAL000370380","","","","",NA,NA,NA,NA,NA,"CAZ288883","",NA,NA,NA,NA,NA,NA,NA,NA,2021,2015,1,13,NA,"INCLUDE"
2021,"DIRECTOR OF DEVELOPMENT AND COMPLIANCE","ALEXANDER NICHOLS","9024WRDYMX134WR","A&A READY MIXED CONCRETE INC.","134 W. REDONDO BEACH BLVD.","GARDENA","LOS ANGELES","CA",90248,NA,"","CAILLIER INVESTMENTS INC","","CAILLIER INVESTMENTS INC",110055724293,"A&A READY MIXED CONCRETE INC.","134 W. REDONDO BEACH BLVD.","GARDENA","LOS ANGELES","CA",90248,NA,"","CAILLIER INVESTMENTS INC","","CAILLIER INVESTMENTS INC",327320,327,"Nonmetallic Mineral Product","A&A READY MIXED CONCRETE INC.","4621 TELLER AVENUE SUITE 130","NEWPORT BEACH","CA",NA,"92660","YES","NO","NO","","NO","NO","NO","ALEX NICHOLS",9492532800,NA,"ALEXN@ASSOCRMC.COM",NA,NA,NA,NA,NA,NA,327,"Nonmetallic Mineral Product",327320,NA,NA,NA,NA,NA,33.89288,-118.2777,831574830,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,2011,1,11,NA,"INCLUDE"
2021,"DIRECTOR OF DEVELOPMENT AND COMPLIANCE","ALEXANDER NICHOLS","9024WRDYMX1ERED","A&A READY MIXED CONCRETE INC.","100 E. REDONDO BEACH BLVD.","GARDENA","LOS ANGELES","CA",90248,NA,"","CAILLIER INVESTMENTS INC","","CAILLIER INVESTMENTS INC",110038088299,"A&A READY MIXED CONCRETE INC.","100 E. REDONDO BEACH BLVD.","GARDENA","LOS ANGELES","CA",90248,NA,"","CAILLIER INVESTMENTS INC","","CAILLIER INVESTMENTS INC",327320,327,"Nonmetallic Mineral Product","A&A READY MIXED CONCRETE INC.","4621 TELLER AVENUE SUITE 130","NEWPORT BEACH","CA",NA,"92660","YES","NO","NO","","NO","NO","NO","ALEX NICHOLS",9492532800,NA,"ALEXN@ASSOCRMC.COM",NA,NA,NA,NA,NA,NA,327,"Nonmetallic Mineral Product",327320,NA,NA,NA,NA,NA,33.89292,-118.27623,831574830,NA,"CAL000354389","","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,2011,1,11,NA,"INCLUDE"
2021,"DIRECTOR OF DEVELOPMENT AND COMPLIANCE","ALEXANDER NICHOLS","9075WRDYMX9EPAT","A&A READY MIXED CONCRETE INC.","900 E. PATTERSON STREET","SIGNAL HILL","LOS ANGELES","CA",90755,NA,"","CAILLIER INVESTMENTS INC","","CAILLIER INVESTMENTS INC",110041409393,"A&A READY MIXED CONCRETE INC.","900 E. PATTERSON STREET","SIGNAL HILL","LOS ANGELES","CA",90755,NA,"","CAILLIER INVESTMENTS INC","","CAILLIER INVESTMENTS INC",327310,327,"Nonmetallic Mineral Product","A&A READY MIXED CONCRETE INC.","4621 TELLER AVENUE SUITE 130","NEWPORT BEACH","CA",NA,"92660","YES","NO","NO","","NO","NO","NO","ALEX NICHOLS",9492532800,NA,"ALEXN@ASSOCRMC.COM",NA,NA,NA,NA,NA,NA,327,"Nonmetallic Mineral Product",327310,NA,NA,NA,NA,NA,33.80711,-118.18225,831574830,NA,"","","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,2011,1,11,NA,"INCLUDE"
2021,"OPERATIONS MANAGER","CALVIN LEIKER","94547BDCST900AL","A&B DIE CASTING","900 ALFRED NOBEL DR","HERCULES","CONTRA COSTA","CA",94547,NA,"","","",NA,110008062087,"A&B DIE CASTING","900 ALFRED NOBEL DR","HERCULES","CONTRA COSTA","CA",94547,NA,"","","","",331523,331,"Primary Metals","A&B DIE CASTING","900 ALFRED NOBEL DR","HERCULES","CA",NA,"94547","YES","NO","NO","","NO","NO","NO","CALVIN LEIKER",5109646404,NA,"CALVIN@BENDATOOL.COM",3363,3364,NA,NA,NA,NA,331,"Primary Metals",331523,NA,NA,NA,NA,NA,38.022436,-122.275933,NA,NA,"CAL000171399","","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,2000,1,12,NA,"INCLUDE"
2021,"GENERAL MANAGER","ROBIN HENNINGSEN","94621MRCNB7825S","AB&I FOUNDRY","7825 SAN LEANDRO ST","OAKLAND","ALAMEDA","CA",94621,NA,"","MCWANE INC","4001715","MCWANE INC",110064950860,"AB&I FOUNDRY","7825 SAN LEANDRO ST","OAKLAND","ALAMEDA","CA",94621,NA,"","MCWANE INC","4001715","MCWANE INC",331511,331,"Primary Metals","","","","",NA,"","YES","NO","NO","","NO","NO","NO","LAURA CLARK",2055783831,NA,"LAURA.CLARK@MCWANE.COM",3321,NA,NA,NA,NA,NA,331,"Primary Metals",331511,NA,NA,NA,NA,NA,37.75029,-122.19299,NA,NA,"CAD021774559","","","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,2021,1987,3,75,NA,"INCLUDE"
