"code","n"
"NA",10037
"332813",1278
"334413",1006
"337215",819
"323111",767
"327320",711
"339999",664
"332710",595
"334419",589
"334412",584
"326199",578
"337110",538
"332999",526
"332812",511
"325998",467
"332312",443
"33271",422
"336413",422
"324121",412
"333319",402
"32732",398
"32311",392
"325510",390
"336399",382
"321920",372
"332322",369
"336350",367
"32551",355
"332323",343
"325211",341
"325411",335
"336411",325
"334516",323
"336611",310
"333415",307
"315212",306
"324191",300
"334111",299
"322211",266
"333999",258
"323113",252
"337122",248
"333922",241
"334511",240
"323119",231
"333618",229
"335312",228
"321918",227
"333414",224
"325120",219
"321999",216
"335999",215
"334418",194
"327999",193
"332321",191
"321911",190
"332439",188
"325199",181
"325611",181
"332721",180
"327390",178
"334515",177
"336211",171
"334220",170
"325314",169
"327991",168
"325612",163
"325620",160
"333921",160
"332722",159
"336612",159
"337211",158
"327215",154
"333314",144
"333514",144
"33422",144
"339950",144
"324110",143
"334513",141
"32562",140
"337121",138
"33995",134
"337127",132
"335911",130
"332811",129
"326121",128
"334517",121
"332919",120
"333924",119
"325188",117
"334417",117
"332510",116
"339910",115
"325520",114
"333111",114
"336414",114
"33711",114
"321113",112
"336212",112
"339920",112
"334112",111
"332116",110
"323110",109
"33991",106
"32591",104
"325991",104
"333911",102
"335311",102
"33651",101
"336991",101
"333515",100
"334510",100
"334519",100
"33992",100
"332996",99
"336412",99
"32411",98
"326150",97
"331492",96
"33251",96
"335122",96
"334613",95
"327331",93
"332431",93
"33636",93
"326299",92
"336992",92
"32552",91
"326191",90
"332117",90
"332313",87
"332912",87
"336510",87
"325910",86
"326291",86
"331524",86
"32512",85
"326122",85
"332618",85
"333512",85
"316110",84
"3327",84
"335121",84
"314999",80
"333132",80
"335129",79
"327310",75
"334290",75
"336999",75
"339914",75
"323122",74
"325311",74
"333295",74
"336214",74
"326113",73
"332311",73
"321114",71
"334416",71
"339992",71
"324122",69
"332911",69
"335313",69
"327332",68
"331221",68
"331521",68
"33429",68
"335931",68
"33411",67
"326112",66
"332111",66
"337212",65
"339115",65
"315239",64
"323112",64
"332212",64
"326111",63
"33312",63
"331511",62
"333120",62
"337125",62
"332112",61
"327212",59
"331513",59
"333298",59
"336111",59
"322212",58
"333912",58
"326211",57
"321912",56
"326212",56
"331210",56
"333923",56
"322299",55
"326130",55
"326160",55
"333318",55
"337214",55
"336415",54
"326140",53
"333993",53
"325180",52
"333611",52
"33431",52
"336419",52
"334119",51
"334514",51
"335314",51
"315232",50
"339991",50
"313320",49
"327211",49
"32616",48
"327992",48
"331512",48
"32615",47
"339111",47
"323114",46
"325992",46
"333294",46
"333513",46
"335991",46
"336340",46
"324199",45
"32739",45
"332214",45
"333511",45
"3261",44
"333312",44
"313311",43
"3219",42
"321991",42
"332994",42
"333992",42
"337124",42
"339113",42
"333994",40
"335929",40
"336360",40
"321992",39
"333242",39
"32192",38
"327420",38
"331491",38
"339112",38
"325212",37
"313312",36
"315211",36
"327213",36
"321214",35
"325412",35
"332410",35
"332420",35
"339932",35
"323117",34
"331316",34
"331528",34
"337920",34
"322121",33
"322130",33
"32541",33
"331111",33
"331314",33
"334414",33
"333112",32
"315999",31
"322222",31
"325193",31
"334210",31
"334411",31
"334512",31
"335912",31
"33641",31
"31611",30
"32613",30
"334310",30
"337910",30
"313310",29
"325613",29
"3321",29
"332114",29
"333612",29
"336390",29
"323116",28
"332913",28
"333995",28
"333996",28
"335222",28
"339911",28
"3133",27
"32511",27
"327993",27
"33121",27
"331222",27
"33511",27
"315299",26
"3329",26
"333613",26
"3362",26
"339994",26
"314110",25
"32213",25
"326220",25
"333131",25
"333518",25
"33451",25
"335110",25
"336391",25
"327122",24
"32731",24
"336322",24
"31332",23
"315233",23
"321219",23
"325181",23
"32614",23
"3323",23
"3324",23
"333249",23
"339912",23
"322214",22
"322291",22
"325110",22
"323115",21
"32518",21
"325920",21
"331315",21
"3342",21
