"code","n"
"",42868
"3599",563
"3273",440
"3499",266
"3674",233
"2752",217
"3444",206
"3471",198
"3999",186
"3714",180
"2411",160
"2759",154
"3089",151
"2421",138
"3728",138
"3272",127
"3441",122
"3679",117
"3911",117
"2951",110
"2875",109
"3479",107
"3541",107
"2879",100
"2819",88
"2653",80
"2844",79
"3281",77
"3559",77
"3469",68
"3732",68
"2431",67
"2448",67
"2911",67
"3841",66
"3672",65
"2899",63
"2851",62
"3449",62
"3446",61
"2813",60
"3544",60
"3577",60
"2834",59
"3442",58
"2511",57
"3531",57
"3721",57
"2821",54
"2841",54
"3451",54
"3993",53
"2842",52
"2434",51
"2499",51
"3086",48
"3826",47
"2869",46
"3663",44
"2891",43
"3827",43
"3699",42
"3731",42
"2836",41
"3443",41
"3949",40
"3678",39
"3812",35
"3271",34
"3561",34
"2833",33
"3429",33
"3585",33
"3589",33
"3823",33
"2999",32
"3231",32
"3452",32
"2389",31
"3085",31
"3496",31
"3542",31
"2679",30
"2873",30
"3523",29
"3825",29
"2835",28
"3295",28
"3498",28
"3556",28
"3569",28
"2893",27
"2952",27
"2992",27
"3354",27
"3398",27
"3399",27
"2396",26
"3081",26
"3621",26
"3761",26
"3845",26
"3241",25
"3549",25
"3713",25
"3842",25
"3069",24
"2261",23
"2711",23
"3172",23
"3299",23
"3545",23
"3548",23
"3629",23
"3669",23
"3312",22
"3317",22
"3533",22
"3571",22
"3084",21
"3253",21
"3743",21
"3751",21
"2269",20
"3229",20
"3537",20
"3799",20
"3829",20
"3861",20
"2491",19
"3087",19
"3651",19
"3711",19
"2512",18
"3612",18
"3769",18
"3564",17
"3715",17
"3724",17
"2514",16
"2599",16
"3648",16
"3321",15
"3341",15
"3691",15
"3931",15
"2394",14
"3061",14
"3315",14
"3357",14
"3365",14
"3423",14
"3494",14
"2299",13
"2515",13
"2874",13
"3363",13
"3462",13
"3492",13
"3582",13
"2439",12
"2542",12
"3053",12
"3432",12
"3463",12
"3519",12
"3661",12
"3843",12
"2339",11
"2399",11
"2441",11
"2451",11
"2521",11
"2541",11
"2673",11
"3083",11
"3251",11
"3491",11
"3563",11
"3567",11
"3645",11
"2331",10
"2435",10
"2449",10
"2621",10
"2843",10
"2892",10
"3011",10
"3082",10
"3211",10
"3433",10
"3524",10
"3536",10
"3565",10
"3572",10
"2211",9
"2671",9
"2675",9
"3052",9
"3255",9
"3325",9
"3411",9
"3555",9
"3625",9
"3632",9
"3643",9
"3646",9
"3764",9
"3792",9
"3844",9
"2493",8
"2721",8
"2754",8
"2812",8
"3088",8
"3221",8
"3261",8
"3291",8
"3316",8
"3369",8
"3412",8
"3534",8
"3553",8
"3991",8
"2241",7
"2262",7
"2329",7
"2426",7
"2519",7
"2522",7
"2655",7
"2657",7
"2672",7
"2741",7
"2822",7
"2865",7
"3274",7
"3275",7
"3324",7
"3339",7
"3366",7
"3465",7
"3511",7
"3613",7
"3851",7
"2259",6
"2395",6
"2631",6
"2731",6
"2732",6
"2789",6
"2796",6
"3313",6
"3364",6
"3489",6
"3535",6
"3641",6
"3795",6
"3821",6
"3944",6
"2221",5
"2231",5
"2295",5
"2591",5
"2761",5
"3269",5
"3296",5
"3495",5
"3543",5
"3546",5
"3568",5
"3634",5
"3671",5
"3694",5
"3824",5
"2253",4
"2257",4
"2381",4
"2392",4
"2531",4
"2611",4
"2652",4
"2677",4
"2816",4
"3292",4
"3297",4
"3353",4
"3356",4
"3425",4
"3448",4
"3482",4
"3552",4
"3554",4
"3566",4
"3581",4
"3592",4
"3594",4
"3631",4
"3633",4
"3675",4
"3676",4
"3952",4
"3965",4
"2273",3
"2353",3
"2393",3
"2452",3
"3021",3
"3149",3
"3171",3
"3259",3
"3262",3
"3264",3
"3351",3
"3421",3
"3493",3
"3562",3
"3575",3
"3578",3
"3586",3
"3624",3
"3644",3
"3695",3
"3716",3
"3822",3
"3915",3
"3953",3
"2297",2
"2298",2
"2326",2
"2335",2
"2361",2
"2384",2
"2429",2
"2656",2
"2674",2
"2782",2
"2791",2
"2895",2
"3144",2
"3161",2
"3199",2
"3355",2
"3483",2
"3497",2
"3547",2
"3579",2
"3596",2
"3639",2
"3647",2
"3652",2
"3677",2
"3692",2
"3951",2
"3961",2
"2111",1
"2252",1
"2258",1
"2281",1
"2284",1
"2321",1
"2337",1
"2341",1
"2369",1
"2371",1
"2386",1
"2391",1
"2397",1
"2676",1
"2678",1
"2771",1
"2824",1
"3111",1
"3151",1
"3322",1
"3331",1
"3431",1
"3484",1
"3532",1
"3593",1
"3995",1
"3996",1
